lower,upper
Cb,Gb
C,G
C#,G#
Db,Ab
D,A
D#,A#
Eb,Bb
E,B
E#,B#
Fb,Cb
F,C
F#,C#
Gb,Db
G,D
G#,D#
Ab,Eb
A,E
A#,E#
Bb,F
B,F#
B#,F##
