lower,upper
Cb,Fb
C,F
C#,F#
Db,Gb
D,G
D#,G#
Eb,Ab
E,A
E#,A#
Fb,Bbb
F,Bb
F#,B
Gb,Cb
G,C
G#,C#
Ab,Db
A,D
A#,D#
Bb,Eb
B,E
B#,E#
